ID Cliente,Edad,Genero,Producto Comprado,Categoria,Valor de Compra,Ciudad,Talla,Estacion,Calificacion,Suscripcion Activa,Tipo de Envio,Compras Previas,Metodo de Pago,Frecuencia de Compras
5122,42,Masculino,Gloves,Accesorios,49,Cartagena,XXL,Primavera,3.6,No,Envio estandar,1,Tarjeta de credito,Cada 3 meses
5123,73,Masculino,Jewelry,Accesorios,40,Medellin,S,Invierno,3.7,Si,Entrega al dia siguiente,26,Tarjeta de credito,Quincenal
5124,37,Masculino,Sunglasses,Accesorios,105,Santa Marta,S,Otono,4.0,No,Envio gratuito,25,Transferencia bancaria,Quincenal
5125,46,Femenino,Jewelry,Accesorios,97,Neiva,S,Otono,4.8,No,Entrega al dia siguiente,59,Nequi,Anualmente
5126,65,Femenino,Hoodie,Ropa,102,Santa Marta,M,Otono,3.5,Si,Entrega al dia siguiente,31,Tarjeta de credito,Trimestral
5127,64,Masculino,Sandals,Calzado,69,Villavicencio,S,Primavera,3.5,Si,Express,20,Tarjeta de debito,Semanal
5128,52,Masculino,Socks,Accesorios,28,Armenia,XXL,Verano,4.8,No,Envio estandar,15,Tarjeta de debito,Anualmente
5129,66,Femenino,Shirt,Ropa,118,Neiva,M,Invierno,3.6,No,Express,64,Transferencia bancaria,Mensual
5130,19,Femenino,Sneakers,Calzado,108,Villavicencio,XXL,Invierno,3.5,No,Express,50,Transferencia bancaria,Anualmente
5131,34,Femenino,Sunglasses,Accesorios,37,Bucaramanga,XXL,Invierno,3.7,Si,Envio en 2 dias,70,Tarjeta de credito,Semanal
5132,46,Femenino,Scarf,Accesorios,55,Cucuta,S,Verano,4.6,Si,Express,37,Transferencia bancaria,Trimestral
5133,65,Masculino,Dress,Ropa,29,Villavicencio,XS,Otono,2.9,No,Express,27,Transferencia bancaria,Semanal
5134,52,Femenino,Sandals,Calzado,109,Bogota,XXL,Primavera,3.5,No,Entrega al dia siguiente,6,Nequi,Anualmente
5135,21,Masculino,T-shirt,Ropa,45,Barranquilla,M,Verano,3.0,Si,Entrega al dia siguiente,3,Transferencia bancaria,Cada 3 meses
5136,70,Femenino,Socks,Accesorios,105,Medellin,S,Primavera,4.5,Si,Recogida en tienda,21,Transferencia bancaria,Mensual
5137,50,Femenino,Jacket,Abrigos,61,Manizales,XXL,Verano,4.1,No,Entrega al dia siguiente,15,Tarjeta de credito,Quincenal
5138,24,Masculino,Jacket,Abrigos,42,Bogota,L,Otono,2.5,Si,Entrega al dia siguiente,28,Transferencia bancaria,Semanal
5139,70,Masculino,Sneakers,Calzado,99,Bucaramanga,XS,Primavera,4.7,No,Envio gratuito,98,Nequi,Mensual
5140,24,Femenino,Hat,Accesorios,32,Ibague,M,Invierno,4.2,Si,Envio gratuito,22,Tarjeta de debito,Semanal
5141,48,Femenino,Jacket,Abrigos,22,Ibague,XL,Invierno,3.5,Si,Envio estandar,75,Transferencia bancaria,Quincenal
5142,19,Femenino,Hoodie,Ropa,50,Armenia,L,Verano,4.0,Si,Express,47,Efectivo,Cada 3 meses
5143,30,Femenino,Jewelry,Accesorios,46,Villavicencio,XS,Verano,4.8,No,Recogida en tienda,42,Tarjeta de credito,Cada 3 meses
5144,38,Femenino,Shirt,Ropa,73,Villavicencio,M,Primavera,3.1,No,Envio gratuito,31,Tarjeta de credito,Trimestral
5145,21,Femenino,Socks,Accesorios,109,Armenia,S,Invierno,3.8,Si,Entrega al dia siguiente,80,Transferencia bancaria,Anualmente
5146,73,Masculino,Blouse,Ropa,44,Bogota,XXL,Verano,4.8,Si,Envio en 2 dias,22,Nequi,Trimestral
5147,71,Femenino,Handbag,Accesorios,84,Medellin,L,Invierno,3.3,Si,Express,54,Tarjeta de credito,Trimestral
5148,33,Masculino,Hoodie,Ropa,93,Santa Marta,XXL,Verano,3.2,No,Envio en 2 dias,46,Efectivo,Mensual
5149,28,Masculino,Sandals,Calzado,74,Manizales,XL,Invierno,4.4,No,Envio en 2 dias,97,Efectivo,Mensual
5150,72,Femenino,T-shirt,Ropa,58,Ibague,XL,Verano,3.9,Si,Envio gratuito,48,Efectivo,Cada 3 meses
5151,47,Masculino,Jewelry,Accesorios,91,Ibague,L,Primavera,3.3,No,Express,19,Tarjeta de credito,Anualmente
5152,18,Masculino,Scarf,Accesorios,71,Pereira,L,Otono,3.5,No,Recogida en tienda,75,Transferencia bancaria,Mensual
5153,74,Femenino,Boots,Calzado,69,Ibague,S,Verano,4.4,No,Recogida en tienda,44,Nequi,Semanal
5154,49,Masculino,Sunglasses,Accesorios,27,Villavicencio,L,Invierno,4.3,Si,Entrega al dia siguiente,4,Tarjeta de debito,Semanal
5155,63,Femenino,Sunglasses,Accesorios,105,Villavicencio,S,Otono,4.0,Si,Envio gratuito,31,Nequi,Trimestral
5156,60,Femenino,Backpack,Accesorios,34,Neiva,XS,Invierno,3.5,Si,Envio estandar,24,Efectivo,Quincenal
5157,71,Masculino,Hat,Accesorios,108,Cartagena,XL,Invierno,4.0,No,Recogida en tienda,11,Transferencia bancaria,Semanal
5158,54,Masculino,Coat,Abrigos,54,Armenia,S,Invierno,4.2,Si,Express,62,Transferencia bancaria,Anualmente
5159,22,Masculino,Shirt,Ropa,73,Villavicencio,M,Invierno,2.9,No,Express,90,Tarjeta de credito,Quincenal
5160,49,Femenino,Shirt,Ropa,34,Santa Marta,XL,Verano,3.0,Si,Recogida en tienda,23,Tarjeta de credito,Cada 3 meses
5161,75,Masculino,Sandals,Calzado,100,Ibague,XS,Verano,2.7,Si,Entrega al dia siguiente,15,Tarjeta de debito,Anualmente
5162,39,Femenino,Shorts,Ropa,50,Santa Marta,L,Primavera,2.5,No,Envio en 2 dias,85,Nequi,Anualmente
5163,24,Femenino,Shirt,Ropa,20,Pereira,XL,Otono,4.8,No,Envio gratuito,77,Efectivo,Cada 3 meses
5164,41,Masculino,Jacket,Abrigos,50,Bucaramanga,XXL,Invierno,3.4,Si,Envio gratuito,42,Transferencia bancaria,Anualmente
5165,47,Masculino,Sweater,Ropa,37,Bogota,XL,Primavera,4.7,No,Recogida en tienda,96,Tarjeta de credito,Cada 3 meses
5166,46,Masculino,Shirt,Ropa,72,Villavicencio,S,Primavera,5.0,No,Envio en 2 dias,81,Tarjeta de debito,Anualmente
5167,69,Masculino,Socks,Accesorios,76,Barranquilla,XL,Invierno,3.5,Si,Envio gratuito,54,Efectivo,Semanal
5168,72,Femenino,Sweater,Ropa,69,Cartagena,XL,Verano,4.3,Si,Express,63,Transferencia bancaria,Cada 3 meses
5169,71,Masculino,Dress,Ropa,77,Medellin,L,Verano,3.1,Si,Recogida en tienda,89,Transferencia bancaria,Anualmente
5170,45,Femenino,Dress,Ropa,61,Pereira,M,Verano,4.3,No,Recogida en tienda,15,Tarjeta de credito,Trimestral
5171,58,Masculino,Blouse,Ropa,108,Bucaramanga,S,Primavera,4.1,No,Recogida en tienda,95,Efectivo,Semanal
5172,59,Masculino,Handbag,Accesorios,48,Cartagena,XS,Otono,2.7,Si,Envio gratuito,94,Nequi,Quincenal
5173,65,Femenino,Shorts,Ropa,67,Cali,M,Invierno,3.9,Si,Envio gratuito,7,Nequi,Trimestral
5174,30,Masculino,Pants,Ropa,60,Neiva,M,Verano,3.8,Si,Envio en 2 dias,50,Transferencia bancaria,Trimestral
5175,72,Masculino,Jacket,Abrigos,38,Cucuta,M,Verano,3.7,No,Express,76,Tarjeta de debito,Quincenal
5176,65,Femenino,Skirt,Ropa,60,Cartagena,XL,Primavera,3.2,No,Recogida en tienda,27,Efectivo,Cada 3 meses
5177,63,Masculino,Belt,Accesorios,62,Cali,XXL,Verano,4.6,Si,Recogida en tienda,94,Transferencia bancaria,Quincenal
5178,72,Masculino,Sweater,Ropa,70,Cartagena,XXL,Verano,5.0,No,Envio gratuito,54,Efectivo,Cada 3 meses
5179,66,Masculino,Jewelry,Accesorios,29,Manizales,XXL,Otono,3.2,Si,Recogida en tienda,70,Efectivo,Anualmente
5180,26,Masculino,T-shirt,Ropa,94,Cucuta,XS,Otono,3.6,Si,Envio estandar,17,Efectivo,Semanal
5181,48,Masculino,Coat,Abrigos,46,Barranquilla,XXL,Verano,4.3,Si,Envio gratuito,92,Nequi,Anualmente
5182,61,Femenino,Jewelry,Accesorios,74,Villavicencio,S,Primavera,2.7,No,Express,6,Transferencia bancaria,Trimestral
5183,59,Masculino,Shorts,Ropa,75,Cali,XXL,Invierno,3.1,Si,Express,50,Efectivo,Cada 3 meses
5184,62,Femenino,Sneakers,Calzado,115,Pereira,XXL,Primavera,4.4,No,Envio gratuito,80,Efectivo,Cada 3 meses
5185,18,Femenino,Boots,Calzado,30,Medellin,L,Verano,2.6,No,Envio gratuito,88,Transferencia bancaria,Trimestral
5186,29,Masculino,Scarf,Accesorios,102,Armenia,L,Otono,3.9,Si,Envio gratuito,8,Nequi,Quincenal
5187,43,Femenino,Jewelry,Accesorios,91,Cucuta,XL,Invierno,2.7,Si,Express,84,Transferencia bancaria,Quincenal
5188,73,Femenino,Backpack,Accesorios,91,Santa Marta,M,Primavera,2.6,Si,Recogida en tienda,20,Transferencia bancaria,Trimestral
5189,34,Femenino,Blouse,Ropa,35,Manizales,M,Otono,4.9,Si,Entrega al dia siguiente,84,Transferencia bancaria,Quincenal
5190,37,Femenino,Shirt,Ropa,120,Cartagena,XXL,Invierno,2.8,No,Recogida en tienda,40,Nequi,Cada 3 meses
5191,56,Femenino,Sunglasses,Accesorios,32,Villavicencio,XS,Verano,2.6,Si,Envio gratuito,27,Tarjeta de credito,Trimestral
5192,53,Femenino,Shorts,Ropa,65,Cartagena,S,Invierno,2.7,No,Envio gratuito,48,Tarjeta de credito,Mensual
5193,47,Femenino,Hat,Accesorios,106,Pereira,XXL,Verano,3.8,Si,Recogida en tienda,93,Tarjeta de debito,Semanal
5194,62,Femenino,Sunglasses,Accesorios,67,Ibague,XXL,Verano,3.5,Si,Envio gratuito,100,Efectivo,Mensual
5195,19,Femenino,Blouse,Ropa,54,Medellin,XL,Primavera,4.2,No,Envio en 2 dias,42,Transferencia bancaria,Cada 3 meses
5196,39,Masculino,Coat,Abrigos,48,Cartagena,XS,Primavera,3.4,Si,Entrega al dia siguiente,13,Transferencia bancaria,Quincenal
5197,51,Masculino,Shorts,Ropa,82,Medellin,XL,Otono,4.3,No,Envio estandar,34,Nequi,Anualmente
5198,75,Femenino,Dress,Ropa,60,Neiva,L,Verano,3.4,No,Entrega al dia siguiente,75,Tarjeta de credito,Cada 3 meses
5199,18,Femenino,Socks,Accesorios,36,Cali,L,Otono,2.6,No,Recogida en tienda,99,Tarjeta de credito,Semanal
5200,56,Masculino,Sunglasses,Accesorios,78,Cali,L,Otono,4.5,No,Envio gratuito,54,Nequi,Semanal
5201,74,Femenino,Hoodie,Ropa,101,Cucuta,XS,Otono,3.5,No,Envio en 2 dias,81,Transferencia bancaria,Anualmente
5202,64,Femenino,Blouse,Ropa,41,Ibague,XS,Primavera,4.4,No,Envio en 2 dias,54,Nequi,Semanal
5203,26,Masculino,Scarf,Accesorios,85,Villavicencio,XXL,Primavera,3.5,Si,Recogida en tienda,0,Efectivo,Semanal
5204,52,Masculino,Handbag,Accesorios,114,Villavicencio,XL,Primavera,4.0,Si,Recogida en tienda,97,Nequi,Quincenal
5205,29,Femenino,Jeans,Ropa,37,Manizales,M,Primavera,3.6,No,Express,47,Transferencia bancaria,Cada 3 meses
5206,61,Femenino,Shoes,Calzado,118,Cucuta,XS,Otono,3.2,No,Envio gratuito,27,Transferencia bancaria,Semanal
